"t
[s]","Io
[W/m2]","vo
[m/s]","To
[°C]","Tsky
[°C]","To_n
[°C]","CO2o_ppm
[ppm]","dayNR
[-]",RH           [%]
8020800,0.00,3.0,4.7,-2.5,3.449,320,93,81.8
8024400,0.00,2.5,4.1,-6.3,3.018,320,93,83.8
8028000,0.00,2.5,4.3,-6.1,3.069,320,93,81.8
8031600,0.00,3.0,4.8,-5.6,3.186,320,93,76.7
8035200,0.00,3.0,4,-9.6,2.854,320,93,82.8
8038800,0.00,3.0,4.6,-9.0,2.497,320,94,69.6
8042400,0.00,2.5,4.6,-9.0,2.352,320,94,67.6
8046000,0.00,2.5,4.5,-9.1,2.478,320,94,70.6
8049600,0.00,3.0,4.3,-9.3,2.579,320,94,74.7
8053200,0.00,3.5,4.4,-9.2,2.458,320,94,71.6
8056800,5.56,3.5,4.3,-9.3,2.366,320,94,71.6
8060400,22.22,3.5,4.6,0.6,2.569,320,94,70.6
8064000,80.56,4.0,5.2,1.2,2.894,320,94,67.6
8067600,133.33,5.0,5.3,1.3,2.532,320,94,61.5
8071200,177.78,5.0,5.8,-1.3,2.819,320,94,59.5
8074800,591.67,5.5,7.2,-10.5,3.542,320,94,53.4
8078400,541.67,5.0,6.8,-9.8,3.612,320,94,58.5
8082000,366.67,4.5,7.3,-5.6,4.213,320,94,60.5
8085600,488.89,5.0,7.4,-11.6,4.218,320,94,59.5
8089200,480.56,5.0,7.6,-16.2,4.560,320,94,61.5
8092800,380.56,5.0,7.5,-21.9,4.722,320,94,64.5
8096400,213.89,4.5,6.8,-13.2,4.259,320,94,66.6
8100000,63.89,4.5,5.7,-14.3,3.875,320,94,74.7
8103600,0.00,3.0,4.5,-15.5,3.189,320,94,80.8
8107200,0.00,2.5,4.5,-15.5,3.259,320,94,81.8
8110800,0.00,3.0,4.3,-15.7,3.622,320,94,89.9
8114400,0.00,2.5,3.8,-16.2,3.203,320,94,90.9
8118000,0.00,2.5,3.5,-16.5,2.911,320,94,90.9
8121600,0.00,3.0,3.1,-16.9,2.715,320,94,93.9
8125200,0.00,3.0,2.6,-17.4,2.223,320,95,93.9
8128800,0.00,2.0,2,-18.0,1.817,320,95,97.0
8132400,0.00,1.5,1.5,-18.5,1.381,320,95,98.0
8136000,0.00,2.0,1.5,-18.5,1.381,320,95,98.0
8139600,0.00,1.5,1,-19.0,0.884,320,95,98.0
8143200,22.22,1.0,0.7,-19.3,0.585,320,95,98.0
8146800,155.56,1.0,1.9,-2.1,1.412,320,95,91.9
8150400,313.89,1.5,4.5,-9.2,2.977,320,95,77.7
8154000,458.33,2.0,6.5,-9.5,3.027,320,95,54.4
8157600,572.22,1.0,8.8,-8.9,4.449,320,95,48.3
8161200,644.44,1.5,9.2,-9.7,4.687,320,95,47.3
8164800,613.89,2.0,10,-8.4,5.539,320,95,49.3
8168400,644.44,3.0,11.1,-9.7,6.651,320,95,51.4
8172000,527.78,3.5,10.2,-9.9,5.414,320,95,46.3
8175600,391.67,4.0,10,-9.6,4.959,320,95,43.3
8179200,358.33,3.5,9.7,-17.5,5.289,320,95,49.3
8182800,208.33,4.0,8.4,-11.6,4.915,320,95,57.4
8186400,58.33,4.0,6.9,-13.1,4.589,320,95,69.6
8190000,2.78,3.0,6.1,-13.9,4.851,320,95,82.8
8193600,0.00,2.5,6.2,-13.8,5.171,320,95,85.8
8197200,0.00,2.0,6.3,-13.7,5.267,320,95,85.8
8200800,0.00,2.0,6,-14.0,5.421,320,95,91.9
8204400,0.00,1.0,6,-14.0,5.421,320,95,91.9
8208000,0.00,0.5,5.9,-14.1,5.177,320,95,89.9
8211600,0.00,1.0,5.9,-14.1,5.177,320,96,89.9
8215200,0.00,1.0,5.8,-14.2,5.007,320,96,88.9
8218800,0.00,0.5,5.2,-14.8,4.211,320,96,85.8
8222400,0.00,0.5,4.9,-15.1,3.994,320,96,86.8
8226000,0.00,0.5,4.4,-15.6,3.788,320,96,90.9
8229600,33.33,0.5,4.7,-15.3,3.449,320,96,81.8
8233200,105.56,1.0,5,1.0,3.805,320,96,82.8
8236800,133.33,1.0,5.4,1.4,3.672,320,96,75.7
8240400,177.78,2.5,6,2.0,4.001,320,96,72.6
8244000,244.44,2.0,6.8,2.8,4.498,320,96,69.6
8247600,516.67,1.5,9,-6.5,5.613,320,96,59.5
8251200,630.56,1.5,10.1,-8.7,6.476,320,96,58.5
8254800,666.67,2.0,10.6,-10.7,6.427,320,96,53.4
8258400,513.89,2.5,10.8,-8.7,6.694,320,96,54.4
8262000,380.56,2.5,10.8,-8.1,7.370,320,96,61.5
8265600,230.56,3.0,10.5,-7.5,6.051,320,96,50.3
8269200,208.33,3.5,9.9,-10.1,6.581,320,96,61.5
8272800,77.78,3.5,8.5,-11.5,5.784,320,96,66.6
8276400,2.78,2.0,7.3,-12.7,5.195,320,96,72.7
8280000,0.00,1.5,6.1,-13.9,5.075,320,96,85.8
8283600,0.00,2.0,5.3,-14.7,4.807,320,96,92.9
8287200,0.00,2.0,5.1,-14.9,4.682,320,96,93.9
8290800,0.00,2.0,4.9,-15.1,4.485,320,96,93.9
8294400,0.00,2.0,4,-16.0,3.801,320,96,97.0
8298000,0.00,1.0,3.2,-16.8,3.007,320,97,97.0
8301600,0.00,0.5,2.9,-17.1,2.774,320,97,98.0
8305200,0.00,1.0,2.2,-17.8,2.016,320,97,97.0
8308800,0.00,1.5,2.2,-17.8,2.077,320,97,98.0
8312400,0.00,1.0,2.5,-17.5,2.376,320,97,98.0
8316000,8.33,1.0,2.7,-17.3,2.575,320,97,98.0
8319600,41.67,0.5,3.6,-0.4,3.470,320,97,98.0
8323200,91.67,1.5,4,0.0,3.868,320,97,98.0
8326800,130.56,1.5,4.4,0.4,3.993,320,97,93.9
8330400,144.44,1.0,5.1,1.1,4.258,320,97,87.9
8334000,158.33,2.0,6.2,2.2,4.795,320,97,80.8
8337600,105.56,1.5,6.1,2.1,5.000,320,97,84.8
8341200,158.33,2.0,6.7,2.7,5.190,320,97,79.8
8344800,316.67,1.5,8,-4.8,6.085,320,97,75.7
8348400,258.33,2.0,9.5,-3.9,6.769,320,97,67.6
8352000,155.56,2.5,9,-3.7,7.097,320,97,76.7
8355600,55.56,3.5,7.4,-8.5,6.007,320,97,81.8
8359200,5.56,2.5,6.6,2.6,6.007,320,97,91.9
8362800,0.00,2.0,6.8,2.8,6.202,320,97,91.9
8366400,0.00,3.0,6.8,2.8,5.516,320,97,82.8
8370000,0.00,3.5,5.6,-1.6,4.154,320,97,79.7
8373600,0.00,2.5,4,-6.4,3.195,320,97,87.9
8377200,0.00,1.0,2.8,-10.8,2.420,320,97,93.9
8380800,0.00,1.5,2.8,-10.8,2.420,320,97,93.9
8384400,0.00,1.0,2.3,-11.3,1.990,320,98,94.9
8388000,0.00,1.0,4,-9.6,3.195,320,98,87.9
8391600,0.00,2.0,4,-9.6,3.263,320,98,88.9
8395200,0.00,2.5,4.9,-8.7,3.852,320,98,84.8
8398800,0.00,3.0,4.1,0.1,3.292,320,98,87.9
8402400,38.89,2.5,4.7,0.7,3.449,320,98,81.8
8406000,69.44,3.0,5.4,1.4,3.966,320,98,79.7
8409600,88.89,4.0,5.5,1.5,4.207,320,98,81.8
8413200,163.89,4.0,6.1,2.1,4.776,320,98,81.8
8416800,130.56,4.5,6.2,2.2,4.870,320,98,81.8
8420400,194.44,4.5,6,2.0,4.904,320,98,84.8
8424000,277.78,4.5,6.7,2.7,5.802,320,98,87.9
8427600,277.78,5.0,7,3.0,5.078,320,98,74.7
8431200,158.33,6.0,7,3.0,4.680,320,98,69.6
8434800,130.56,5.5,6.7,2.7,4.486,320,98,70.6
8438400,163.89,4.5,6.9,-6.1,4.429,320,98,67.6
8442000,116.67,4.0,5.7,-10.5,3.875,320,98,74.7
8445600,30.56,3.5,4.7,-14.7,3.378,320,98,80.8
8449200,2.78,3.0,4.3,-15.1,3.416,320,98,86.8
8452800,0.00,3.0,4.3,0.3,3.278,320,98,84.8
8456400,0.00,2.5,4,0.0,3.059,320,98,85.8
8460000,0.00,3.5,4.4,0.4,3.581,320,98,87.8
8463600,0.00,3.0,4,0.0,2.991,320,98,84.8
8467200,0.00,2.5,3.2,-4.0,2.158,320,98,83.8
8470800,0.00,2.5,2.9,-4.3,2.067,320,99,86.8
8474400,0.00,2.5,4,-3.2,2.300,320,99,74.7
8478000,0.00,3.0,4.1,-3.1,2.182,320,99,71.6
8481600,0.00,3.5,3.2,-7.2,1.893,320,99,79.7
8485200,0.00,2.5,2.9,-7.5,1.806,320,99,82.8
8488800,30.56,2.0,3,-7.4,1.506,320,99,76.7
8492400,180.56,3.0,4.8,0.8,2.970,320,99,73.7
8496000,327.78,4.0,6,-7.7,3.540,320,99,66.6
8499600,341.67,4.5,6,-6.2,3.151,320,99,61.5
8503200,427.78,5.0,6.6,-6.8,3.276,320,99,56.4
8506800,291.67,5.0,6.9,-2.7,3.863,320,99,60.5
8510400,377.78,4.5,7.2,-4.7,3.877,320,99,57.4
8514000,272.22,4.0,7,-2.8,3.786,320,99,58.5
8517600,180.56,3.5,7,-1.1,3.950,320,99,60.5
8521200,191.67,4.0,6.8,-3.5,3.856,320,99,61.5
8524800,127.78,4.0,6.4,-4.1,3.899,320,99,66.6
8528400,113.89,3.0,6.7,-3.8,3.848,320,99,62.5
8532000,38.89,3.0,5.9,-7.8,3.985,320,99,73.7
8535600,2.78,2.5,5,-11.9,4.019,320,99,85.8
8539200,0.00,2.0,5.1,-11.8,4.258,320,99,87.9
8542800,0.00,2.0,5.1,1.1,4.186,320,99,86.8
8546400,0.00,2.0,5.2,1.2,4.780,320,99,93.9
8550000,0.00,2.0,5.7,1.7,5.127,320,99,91.9
8553600,0.00,2.0,5.9,1.9,5.323,320,99,91.9
8557200,0.00,2.5,6.1,2.1,5.371,320,100,89.9
8560800,0.00,2.5,6.1,2.1,5.371,320,100,89.9
8564400,0.00,2.5,5.8,1.8,5.007,320,100,88.9
8568000,0.00,2.5,5.1,-2.1,4.470,320,100,90.9
8571600,0.00,2.5,5.2,-2.0,4.921,320,100,96.0
8575200,16.67,2.0,6.1,2.1,5.592,320,100,92.9
8578800,116.67,2.0,7,3.0,6.015,320,100,86.8
8582400,233.33,2.5,7.8,-2.5,6.062,320,100,77.7
8586000,369.44,3.0,8.7,-4.2,5.877,320,100,65.6
8589600,416.67,3.5,9,-4.1,5.523,320,100,58.5
8593200,405.56,3.0,9.8,5.8,6.585,320,100,62.5
8596800,322.22,3.0,9.4,5.4,6.142,320,100,61.5
8600400,291.67,3.0,9.7,5.7,6.314,320,100,60.5
8604000,316.67,3.0,9.8,5.8,6.767,320,100,64.5
8607600,266.67,3.0,9.9,5.9,6.488,320,100,60.5
8611200,238.89,4.0,9.7,5.7,6.130,320,100,58.5
8614800,205.56,3.0,9.4,5.4,5.870,320,100,58.5
8618400,77.78,2.0,8.9,4.9,5.791,320,100,62.5
8622000,5.56,1.5,7.4,0.2,5.043,320,100,69.6
8625600,0.00,1.0,5.7,-4.7,4.617,320,100,84.8
8629200,0.00,0.5,4.5,-9.1,3.816,320,100,89.9
8632800,0.00,0.5,3.6,-13.2,3.404,320,100,97.0
8636400,0.00,0.5,2.6,-17.4,2.286,320,100,94.9
8640000,0.00,0.0,1.3,-18.7,1.182,320,100,98.0
8643600,0.00,0.0,0.9,-19.1,0.784,320,101,98.0
8647200,0.00,0.0,-0.5,-20.5,-0.603,320,101,98.1
8650800,0.00,0.0,-0.8,-20.8,-0.901,320,101,98.1
8654400,0.00,0.5,-0.6,-20.6,-0.702,320,101,98.1
8658000,0.00,0.5,0,-20.0,-0.105,320,101,98.1
8661600,13.89,0.5,0.6,-3.4,0.198,320,101,92.9
8665200,58.33,0.5,2.3,-1.7,1.866,320,101,92.9
8668800,116.67,0.5,4.4,0.4,4.130,320,101,96.0
8672400,258.33,1.0,7.1,3.1,5.879,320,101,83.8
8676000,591.67,1.5,9.7,-7.8,6.314,320,101,60.5
8679600,680.56,1.5,11.1,-8.0,7.047,320,101,55.4
8683200,688.89,2.0,11.8,-7.9,7.134,320,101,50.4
8686800,330.56,1.5,11.1,-0.2,6.751,320,101,52.4
8690400,255.56,2.0,11.3,7.3,7.019,320,101,53.4
8694000,266.67,2.0,12,8.0,7.507,320,101,52.4
8697600,202.78,2.0,11.9,-2.9,7.729,320,101,55.4
8701200,141.67,2.0,11.3,-6.7,7.218,320,101,55.4
8704800,41.67,2.5,10.8,-7.2,7.082,320,101,58.5
8708400,2.78,2.0,10.2,-9.8,6.937,320,101,62.5
8712000,0.00,1.5,9.1,-10.9,6.322,320,101,66.6
8715600,0.00,1.5,6.7,-13.3,4.801,320,101,74.7
8719200,0.00,1.0,5.4,-14.6,3.966,320,101,79.7
8722800,0.00,0.5,4.4,-15.6,3.304,320,101,83.8
8726400,0.00,1.0,3.6,-16.4,2.607,320,101,84.8
8730000,0.00,1.5,3.4,-16.6,2.615,320,102,87.9
8733600,0.00,1.0,3.2,-16.8,2.290,320,102,85.8
8737200,0.00,1.0,2.8,-17.2,2.100,320,102,88.9
8740800,0.00,1.0,2.9,-17.1,2.067,320,102,86.8
8744400,0.00,1.0,2.6,-17.4,1.906,320,102,88.9
8748000,52.78,1.5,4.1,0.1,2.880,320,102,81.8
8751600,191.67,2.0,7,3.0,4.840,320,102,71.6
8755200,344.44,2.5,8.9,-5.1,6.055,320,102,65.6
8758800,491.67,4.5,10.9,-5.3,7.168,320,102,58.5
8762400,605.56,5.0,12.1,-5.7,8.002,320,102,56.4
8766000,683.33,5.0,13.2,-5.9,8.189,320,102,49.3
8769600,716.67,5.5,13.5,-6.7,8.104,320,102,46.3
8773200,691.67,5.5,14.3,-6.8,8.523,320,102,44.3
8776800,627.78,6.5,15.2,-7.0,8.145,320,102,35.2
8780400,516.67,6.0,15.2,-8.1,9.124,320,102,43.3
8784000,377.78,5.5,15.1,-10.2,9.044,320,102,43.3
8787600,230.56,5.5,15,-10.3,8.965,320,102,43.3
8791200,91.67,4.0,14.1,-5.9,8.819,320,102,48.3
8794800,5.56,3.0,12.5,-7.5,8.032,320,102,53.4
8798400,0.00,3.0,11.5,-8.5,7.188,320,102,53.4
8802000,0.00,2.5,10.4,-9.6,6.641,320,102,57.4
8805600,0.00,2.0,9.7,-10.3,6.314,320,102,60.5
8809200,0.00,3.5,10.6,-9.4,6.813,320,102,57.4
8812800,0.00,3.0,9.4,-10.6,6.232,320,102,62.5
8816400,0.00,2.5,8.2,-11.8,5.600,320,103,67.6
8820000,0.00,2.5,7.8,-12.2,5.323,320,103,68.6
8823600,0.00,3.0,7.6,-12.4,5.142,320,103,68.6
8827200,0.00,4.0,7.7,-12.3,5.232,320,103,68.6
8830800,0.00,4.0,7.8,-12.2,5.240,320,103,67.6
8834400,55.56,4.0,8.3,4.3,5.690,320,103,67.6
8838000,197.22,4.0,9.7,5.7,6.314,320,103,60.5
8841600,352.78,3.5,11,-3.1,7.545,320,103,61.5
8845200,491.67,3.5,13.1,-3.0,8.857,320,103,56.4
8848800,594.44,4.0,14.6,-2.8,9.800,320,103,53.4
8852400,669.44,4.0,16.3,-2.3,10.988,320,103,51.4
8856000,697.22,4.0,17.8,-1.8,12.234,320,103,51.4
8859600,672.22,5.0,19.4,-1.0,12.460,320,103,43.3
8863200,605.56,5.0,19.6,-1.7,12.047,320,103,39.2
8866800,491.67,4.5,19.7,-2.3,11.539,320,103,35.2
8870400,358.33,4.5,19.1,-4.6,11.661,320,103,39.2
8874000,219.44,4.5,18.4,-1.6,10.842,320,103,37.2
8877600,83.33,3.5,17.2,-2.8,10.059,320,103,38.2
8881200,5.56,1.5,13.8,-6.2,8.348,320,103,46.3
8884800,0.00,2.0,12.4,-7.6,7.528,320,103,49.3
8888400,0.00,1.5,11.2,-8.8,6.835,320,103,52.4
8892000,0.00,2.5,13.3,-6.7,7.496,320,103,42.3
8895600,0.00,3.5,13.3,-6.7,7.496,320,103,42.3
8899200,0.00,2.5,11.2,-8.8,6.635,320,103,50.4
8902800,0.00,2.0,9.9,-10.1,5.929,320,104,54.4
8906400,0.00,2.0,9.1,-10.9,5.520,320,104,57.4
8910000,0.00,2.0,8.2,-11.8,5.174,320,104,62.5
8913600,0.00,2.0,8,-12.0,4.912,320,104,61.5
8917200,0.00,1.5,7.3,-12.7,4.626,320,104,65.6
8920800,58.33,1.5,8.9,4.9,5.614,320,104,60.5
8924400,208.33,1.5,10.8,-0.7,7.082,320,104,58.5
8928000,358.33,2.0,12.2,-2.0,8.292,320,104,58.5
8931600,491.67,2.0,14.8,-1.2,9.740,320,104,51.4
8935200,597.22,1.5,16.8,-0.5,11.279,320,104,50.4
8938800,672.22,2.5,18.6,0.0,12.634,320,104,49.4
8942400,694.44,3.0,19.8,0.3,12.634,320,104,42.3
8946000,655.56,3.0,20.5,0.7,13.185,320,104,42.3
8949600,591.67,2.0,21.1,0.4,13.205,320,104,39.3
8953200,466.67,2.0,20.9,0.1,12.899,320,104,38.2
8956800,358.33,1.5,20.3,-3.1,12.735,320,104,40.3
8960400,213.89,1.0,20.1,-3.3,12.725,320,104,41.3
8964000,80.56,0.5,18.8,-1.2,12.258,320,104,45.3
8967600,5.56,0.5,15,-5.0,10.819,320,104,59.5
8971200,0.00,0.5,13.9,-6.1,9.758,320,104,58.5
8974800,0.00,0.5,12.6,-7.4,8.945,320,104,61.5
8978400,0.00,0.5,12.5,-7.5,8.756,320,104,60.5
8982000,0.00,1.0,11.7,-8.3,8.059,320,104,60.5
8985600,0.00,1.0,10.8,-9.2,7.465,320,104,62.5
8989200,0.00,1.0,10.4,-9.6,7.113,320,105,62.5
8992800,0.00,0.5,10,-10.0,6.761,320,105,62.5
8996400,0.00,0.5,7.8,-12.2,5.653,320,105,72.6
9000000,0.00,1.0,8,-12.0,5.251,320,105,65.5
9003600,0.00,0.5,7.1,-12.9,5.171,320,105,74.7
9007200,55.56,0.5,7.8,3.8,5.489,320,105,70.6
9010800,183.33,0.5,12.1,1.8,8.508,320,105,61.5
9014400,341.67,1.0,15.2,1.6,10.189,320,105,52.4
9018000,477.78,1.0,17.4,1.9,11.520,320,105,48.3
9021600,580.56,1.5,19.3,2.5,11.672,320,105,38.2
9025200,641.67,2.5,20.8,3.0,11.428,320,105,29.1
9028800,677.78,3.5,21.3,2.4,11.296,320,105,26.1
9032400,672.22,3.0,21.9,1.7,11.714,320,105,26.1
9036000,602.78,3.5,22,1.1,11.614,320,105,25.1
9039600,480.56,2.5,21.7,0.6,11.575,320,105,26.1
9043200,352.78,1.5,21.6,-1.1,11.338,320,105,25.1
9046800,216.67,1.5,20.9,0.9,11.179,320,105,27.1
9050400,80.56,0.5,19.1,-0.9,10.944,320,105,34.2
9054000,5.56,0.5,15.8,-4.2,9.969,320,105,46.3
9057600,0.00,0.5,13.2,-6.8,9.155,320,105,58.5
9061200,0.00,0.5,11.8,-8.2,8.932,320,105,68.6
9064800,0.00,0.5,12.2,-7.8,7.882,320,105,54.4
9068400,0.00,1.0,11.8,-8.2,7.644,320,105,55.4
9072000,0.00,1.0,11.9,-8.1,7.423,320,105,52.4
9075600,0.00,0.5,9.8,-10.2,7.129,320,106,68.6
9079200,0.00,0.5,8,-12.0,6.249,320,106,77.7
9082800,0.00,0.5,6.3,-13.7,5.714,320,106,91.9
9086400,0.00,0.5,6.5,-13.5,5.307,320,106,83.8
9090000,0.00,0.5,5.7,-14.3,4.982,320,106,89.9
9093600,58.33,0.5,6.5,2.5,5.609,320,106,87.9
9097200,191.67,1.0,11.3,0.8,8.291,320,106,66.6
9100800,333.33,0.0,15.3,2.1,9.683,320,106,47.3
9104400,483.33,1.5,18.3,2.7,11.453,320,106,42.3
9108000,594.44,1.5,19.4,2.3,11.168,320,106,34.2
9111600,663.89,1.5,21,2.8,12.669,320,106,36.2
9115200,663.89,2.0,20.8,2.3,12.211,320,106,34.2
9118800,633.33,2.5,21.3,2.3,12.740,320,106,35.2
9122400,563.89,2.5,21.2,1.7,12.975,320,106,37.2
9126000,472.22,3.0,21.3,0.7,12.107,320,106,31.2
9129600,352.78,2.5,20.9,-1.5,12.130,320,106,33.2
9133200,222.22,2.5,20,0.0,12.356,320,106,39.2
9136800,91.67,2.5,18,-2.0,12.011,320,106,48.4
9140400,5.56,1.5,14.5,-5.5,11.149,320,106,66.6
9144000,0.00,1.5,13,-7.0,11.010,320,106,78.7
9147600,0.00,2.0,12.9,-7.1,10.622,320,106,75.7
9151200,0.00,2.0,12,-8.0,10.075,320,106,78.7
9154800,0.00,2.0,11.1,-8.9,9.778,320,106,84.8
9158400,0.00,2.0,9.8,-10.2,8.964,320,106,89.9
9162000,0.00,2.0,9,-11.0,8.515,320,107,94.0
9165600,0.00,1.5,8.1,-11.9,7.788,320,107,96.0
9169200,0.00,1.5,8,-12.0,7.611,320,107,95.0
9172800,0.00,1.5,7.7,-12.3,7.082,320,107,91.9
9176400,0.00,1.5,7.8,-12.2,6.864,320,107,87.9
9180000,55.56,1.5,7.7,3.7,7.003,320,107,90.9
9183600,197.22,2.0,10.1,-0.6,8.031,320,107,75.7
9187200,347.22,2.0,12.2,-1.4,9.194,320,107,67.6
9190800,480.56,2.0,14.3,-1.1,10.103,320,107,58.5
9194400,588.89,2.5,16.8,-0.1,10.652,320,107,45.3
9198000,630.56,3.5,17.3,0.0,11.311,320,107,47.3
9201600,652.78,4.0,17.2,-0.9,12.233,320,107,55.4
9205200,605.56,3.5,16.8,-1.4,11.650,320,107,53.4
9208800,530.56,5.0,14.8,-3.6,11.308,320,107,65.6
9212400,380.56,5.5,14.6,-2.3,10.583,320,107,60.5
9216000,283.33,5.5,12,-6.2,9.980,320,107,77.7
9219600,227.78,5.0,11.8,-6.4,9.126,320,107,70.6
9223200,116.67,5.0,10.8,-9.2,8.679,320,107,75.7
9226800,13.89,4.5,9,-11.0,7.856,320,107,85.8
9230400,0.00,5.5,8.5,-11.5,7.458,320,107,86.8
9234000,0.00,5.0,8.2,-11.8,7.008,320,107,84.8
9237600,0.00,4.0,8.2,-11.8,6.600,320,107,79.7
9241200,0.00,3.0,7.7,-12.3,6.450,320,107,83.8
9244800,0.00,2.5,6.9,-13.1,5.611,320,107,82.8
9248400,0.00,1.0,5.5,-14.5,4.716,320,108,88.9
9252000,0.00,1.0,4.5,-15.5,3.885,320,108,90.9
9255600,0.00,1.0,4.2,-15.8,3.457,320,108,88.9
9259200,0.00,1.5,5.4,-14.6,4.403,320,108,85.8
9262800,0.00,1.5,5.8,-14.2,4.713,320,108,84.8
9266400,30.56,2.5,6.2,2.2,5.096,320,108,84.8
9270000,63.89,3.0,6.6,2.6,5.249,320,108,81.8
9273600,105.56,3.0,7.2,3.2,5.581,320,108,78.7
9277200,80.56,4.0,7.3,3.3,5.912,320,108,81.8
9280800,58.33,3.5,7.4,3.4,6.322,320,108,85.8
9284400,130.56,3.5,7.7,3.7,7.160,320,108,92.9
9288000,188.89,3.5,8.5,4.5,7.458,320,108,86.8
9291600,116.67,4.5,8.6,4.6,7.142,320,108,81.8
9295200,91.67,4.0,8.3,4.3,7.266,320,108,86.9
9298800,58.33,4.0,8.3,4.3,7.266,320,108,86.9
9302400,55.56,4.0,8.3,4.3,7.827,320,108,93.9
9306000,30.56,4.0,8.2,4.2,7.966,320,108,97.0
9309600,8.33,3.5,8.3,4.3,8.222,320,108,99.0
9313200,2.78,3.0,8.7,4.7,8.461,320,108,97.0
9316800,0.00,3.0,8.8,4.8,8.560,320,108,97.0
9320400,0.00,3.5,8.9,4.9,8.660,320,108,97.0
9324000,0.00,3.5,9,5.0,8.759,320,108,97.0
9327600,0.00,3.0,9.3,5.3,8.892,320,108,95.0
9331200,0.00,2.5,9.6,5.6,8.854,320,108,90.9
9334800,0.00,2.5,9.4,5.4,8.659,320,109,90.9
9338400,0.00,2.0,9.1,5.1,8.367,320,109,90.9
9342000,0.00,2.0,8.8,4.8,8.075,320,109,90.9
9345600,0.00,3.0,8.7,4.7,8.058,320,109,91.9
9349200,0.00,3.0,8.1,4.1,7.866,320,109,97.0
9352800,27.78,3.5,8.5,4.5,7.621,320,109,88.9
9356400,119.44,5.0,8.6,1.4,6.387,320,109,72.6
9360000,130.56,6.0,8.3,4.3,5.775,320,109,68.6
9363600,177.78,5.5,8.5,4.5,5.784,320,109,66.6
9367200,347.22,7.0,9.4,-1.4,6.052,320,109,60.5
9370800,333.33,7.5,9.5,-0.6,6.048,320,109,59.5
9374400,319.44,6.5,7,-2.9,4.438,320,109,66.6
9378000,527.78,6.0,8.4,-7.5,5.090,320,109,59.5
9381600,366.67,7.0,7,-6.2,3.455,320,109,54.4
9385200,316.67,7.0,6.7,-7.5,3.443,320,109,57.4
9388800,252.78,7.5,6.8,-9.2,2.953,320,109,50.3
9392400,177.78,7.0,6.4,-9.6,2.534,320,109,49.3
9396000,52.78,7.0,4.4,0.4,3.164,320,109,81.8
9399600,8.33,5.0,4.4,0.4,2.600,320,109,73.7
9403200,0.00,5.0,4.8,0.8,2.460,320,109,66.6
9406800,0.00,5.5,4,0.0,2.509,320,109,77.7
9410400,0.00,6.5,4.4,0.4,2.458,320,109,71.6
9414000,0.00,6.0,2.8,-1.2,2.292,320,109,91.9
9417600,0.00,6.0,2.3,-1.7,1.866,320,109,92.9
9421200,0.00,2.5,1.8,-2.2,1.497,320,110,94.9
9424800,0.00,3.5,1.8,-2.2,1.314,320,110,91.9
9428400,0.00,4.5,3.5,-0.5,1.768,320,110,73.7
9432000,0.00,4.5,3.1,-0.9,1.865,320,110,80.8
9435600,0.00,5.0,4,0.0,1.950,320,110,69.6
9439200,5.56,6.0,2.3,-1.7,2.115,320,110,97.0
9442800,47.22,6.5,3.9,-0.1,3.368,320,110,91.9
9446400,197.22,5.0,5,1.0,4.513,320,110,92.9
9450000,208.33,3.5,6,-1.8,4.979,320,110,85.8
9453600,305.56,4.0,6.8,2.8,5.516,320,110,82.8
9457200,413.89,5.0,6.2,2.2,5.690,320,110,92.9
9460800,602.78,6.5,8.3,-8.4,5.775,320,110,68.6
9464400,591.67,7.5,8.6,-8.9,5.088,320,110,57.4
9468000,494.44,7.5,8.1,-8.9,4.742,320,110,58.5
9471600,241.67,6.5,7.5,-3.8,4.722,320,110,64.5
9475200,272.22,6.0,8,-8.9,5.504,320,110,68.6
9478800,138.89,7.0,6.4,2.4,5.060,320,110,81.8
9482400,63.89,6.5,5.1,1.1,4.682,320,110,93.9
9486000,8.33,5.0,5.7,1.7,4.617,320,110,84.8
9489600,0.00,5.0,5.2,1.2,3.850,320,110,80.8
9493200,0.00,4.5,4.7,0.7,3.661,320,110,84.8
9496800,0.00,4.0,4.8,0.8,3.756,320,110,84.8
9500400,0.00,4.5,5.1,1.1,3.972,320,110,83.8
9504000,0.00,4.0,4.6,0.6,3.565,320,110,84.8
9507600,0.00,3.5,4.2,0.2,3.457,320,111,88.9
9511200,0.00,3.0,4.1,0.1,3.155,320,111,85.8
9514800,0.00,2.0,4.1,0.1,3.698,320,111,93.9
9518400,0.00,1.5,3.2,-4.0,3.072,320,111,98.0
9522000,2.78,1.0,3.9,-3.3,3.301,320,111,90.9
9525600,41.67,2.0,4,0.0,3.398,320,111,90.9
9529200,172.22,2.5,6.1,-3.2,4.700,320,111,80.8
9532800,166.67,4.0,6.7,-0.8,4.486,320,111,70.6
9536400,405.56,4.0,8.3,-4.8,5.262,320,111,62.5
9540000,513.89,4.0,9,-5.7,5.613,320,111,59.5
9543600,552.78,4.0,9.2,-6.0,5.606,320,111,57.4
9547200,263.89,4.0,6.6,2.6,5.249,320,111,81.8
9550800,258.33,4.5,7.7,3.7,5.398,320,111,70.6
9554400,447.22,5.0,7.5,-8.0,5.540,320,111,74.7
9558000,372.22,5.0,7.8,-8.2,5.489,320,111,70.6
9561600,222.22,5.0,7.6,-6.4,4.977,320,111,66.6
